Use?,Why?,comp_ID,study_ID,dam_ID,animal_ID,author,year,title,journal,species,strain,manip_type,manip_direction,nom_manip_val,,,,nom_manip_val2,,,,intake_reported,vitmin_eql,adlib_con,adlib_exp,diet_con,diet_exp,dam_diet_start_dPC,dam_diet_end_dPC,diet_label,age_mating,n_con_dam,n_exp_dam,multi_use_con,dam_housing,temperature,photoperiod,litter_size,litter_size_equalized,crossfostered,sex,housing,bodyweight_mean_contr,bodyweight_SE_contr,bodyweight_mean_exp,bodyweight_SE_exp,bw_N_contr,bw_N_exp,bw_dayPG,birthweight_mean_contr,birthweight_SE_contr,birthweight_mean_exp,birthweight_SE_exp,birthweight_N_contr,birthweight_N_exp,offspring_diet,offspring_con_adlib,offspring_diet_level,offspring_diet_end_dPP,post_diet_adlib,response_age_dPP,author's behaviour,my behaviour,response_test,time_trial,measure,unit,high_better,night/day,comparison,exp_mean,exp_se,exp_n,con_mean,con_se,con_n,con_ID,d,se,percentage,Data_source,measure_comments,SE_imputed,Comments,suppl_files,weight,weightSE,birth,birthSE,initial_d,intialSE,final_d,finalSE
yes,,comp_174,s_13,D_25,A_33,Rodriguez,2012,Maternal obesity in the rat programs,J022,rats,Wistar,calorie,+,5,25.00%,5.00%,% fat in diet,1.225,4.9,4,Kcal/g of diet,no,no,yes,yes,Zeigler_Rodent_RQ22-5,Hhigh_fat_Rodriguez,-99,0,pregestation,120,12,12,yes,,22,12,10,yes,no,m,,,,,,,,,,,,,,,control,yes,Zeigler_Rodent_RQ22-15,21,yes,75,ANXIETY,ANXIETY,Open_Field,60,Center_zone_time,sec,yes,night,CTR_G,139,17.4,6,81,45.7,6,con_70,,,no,Table 2,,no,"did not extract data for operant conditioning, already extracted by Katie",,,,,,,,,
yes,,comp_175,s_13,D_25,A_33,Rodriguez,2012,Maternal obesity in the rat programs,J022,rats,Wistar,calorie,+,5,25.00%,5.00%,% fat in diet,1.225,4.9,4,Kcal/g of diet,no,no,yes,yes,Zeigler_Rodent_RQ22-5,Hhigh_fat_Rodriguez,-99,0,pregestation,120,12,12,yes,,22,12,10,yes,no,m,,,,,,,,,,,,,,,control,yes,Zeigler_Rodent_RQ22-15,21,yes,75,ANXIETY,ANXIETY,Open_Field,60,Center_zone_distance,m,yes,night,CTR_G,12,1.6,6,5.2,0.9,6,con_71,,,no,Table 2,,no,"did not extract data for operant conditioning, already extracted by Katie",,,,,,,,,
yes,,comp_176,s_14,D_26,A_34,Hernandes,2005,Effects of different malnutrition techniques,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Hernandes_control_16%protein,Hernandes_low_6%protein,0,43,pre+lact,,,,no,single,23,12,8,yes,no,both,single,404.5,10,325,13.7,10,10,70,,,,,,,control,yes,Hernandes_control_16%protein,21,yes,70,ANXIETY,ANXIETY,Elev_T_maze,5,latency_emerge_closed_arm,sec,no,day,C_PM,13.41,3.66,10,15.85,2.44,10,con_72,,,no,Fig 1,used baseline only,no,excluded data for LLM and SM (diet by separation or increased litter size),,,,,,,,,
yes,,comp_177,s_14,D_26,A_34,Hernandes,2005,Effects of different malnutrition techniques,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Hernandes_control_protein,Hernandes_low_6%protein,0,43,pre+lact,,,,no,single,23,12,8,yes,no,both,single,404.5,10,325,13.7,10,10,70,,,,,,,control,yes,Hernandes_control_16%protein,21,yes,70,ANXIETY,ANXIETY,Elev_T_maze,5,latency_emerge_open_arm,sec,yes,day,C_PM,11.16,1.16,10,10.23,1.39,10,con_73,,,no,Fig 2,,no,excluded data for LLM and SM (diet by separation or increased litter size),,,,,,,,,
yes,,comp_178,s_14,D_27,A_35,Hernandes,2005,Effects of different malnutrition techniques,J008,rats,Wistar,calorie,-,50%,50%,100%,intake,,,,,no,yes,yes,no,Hernandes_control_protein,Hernandes_low_16%protein,0,43,pre+lact,,,,no,single,23,12,8,yes,no,both,single,404.5,10,319,16.5,10,10,70,,,,,,,control,yes,Hernandes_control_16%protein,21,yes,70,ANXIETY,ANXIETY,Elev_T_maze,5,latency_emerge_closed_arm,sec,no,day,C_PCM,13.33,1.21,10,18.18,3.64,10,con_74,,,no,Fig 1,used baseline only,no,excluded data for LLM and SM (diet by separation or increased litter size),,,,,,,,,
yes,,comp_179,s_14,D_27,A_35,Hernandes,2005,Effects of different malnutrition techniques,J008,rats,Wistar,calorie,-,50%,50%,100%,intake,,,,,no,yes,yes,no,Hernandes_control_protein,Hernandes_low_16%protein,0,43,pre+lact,,,,no,single,23,12,8,yes,no,both,single,404.5,10,319,16.5,10,10,70,,,,,,,control,yes,Hernandes_control_16%protein,21,yes,70,ANXIETY,ANXIETY,Elev_T_maze,5,latency_emerge_open_arm,sec,yes,day,C_PCM,13.25,2.09,10,10.69,1.63,10,con_75,,,no,Fig 2,,no,excluded data for LLM and SM (diet by separation or increased litter size),,,,,,,,,
yes,,comp_180,s_15,D_28,A_36,Perreira,2009,Effect of early malnutrition and environmental ,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Perreira_isocal_16%protein,Perreira_isocal_6%protein,22,43,lact,90,,,no,,24,12,8,yes,no,m,single,,,,,,,,,,,,,,control,yes,Perreira_isocal_16%protein,35,yes,28,ANXIETY,ANXIETY,EPM,5,Open_arm_entries,#,yes,day,CNS_MNS,3.04,0.65,14,1.19,0.43,13,con_76,,,no,Fig 1,,no,Careful pups fed on exp diet til 35 days old. excluded data for stimulated pups during lactation,,,,,,,,,
yes,,comp_181,s_15,D_28,A_36,Perreira,2009,Effect of early malnutrition and environmental ,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Perreira_isocal_16%protein,Perreira_isocal_6%protein,22,43,lact,90,,,no,,24,12,8,yes,no,m,single,,,,,,,,,,,,,,control,yes,Perreira_isocal_16%protein,35,yes,28,ANXIETY,ANXIETY,EPM,5,Open_arm_time,sec,yes,day,CNS_MNS,15.15,0.44,14,8.91,0.44,13,con_77,,,no,Fig 2,,no,Careful pups fed on exp diet til 35 days old. excluded data for stimulated pups during lactation,,,,,,,,,
yes,,comp_182,s_15,D_28,A_36,Perreira,2009,Effect of early malnutrition and environmental ,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Perreira_isocal_16%protein,Perreira_isocal_6%protein,22,43,lact,90,,,no,,24,12,8,yes,no,m,single,,,,,,,,,,,,,,control,yes,Perreira_isocal_16%protein,35,yes,28,ANXIETY,ANXIETY,EPM,5,Frequency_segment_1,#,no,day,CNS_MNS,2.27,0.47,14,1.07,0.34,13,con_78,,,no,Fig 3,,no,Careful pups fed on exp diet til 35 days old. excluded data for stimulated pups during lactation,,,,,,,,,
yes,,comp_183,s_15,D_28,A_36,Perreira,2009,Effect of early malnutrition and environmental ,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Perreira_isocal_16%protein,Perreira_isocal_6%protein,22,43,lact,90,,,no,,24,12,8,yes,no,m,single,,,,,,,,,,,,,,control,yes,Perreira_isocal_16%protein,35,yes,28,EXPLORATION,EXPLORATION,EPM,5,Frequency_segment_2,#,yes,day,CNS_MNS,0.34,0.18,14,0,0,13,con_79,,,no,Fig 3,,no,Careful pups fed on exp diet til 35 days old. excluded data for stimulated pups during lactation,,,,,,,,,
yes,,comp_184,s_15,D_28,A_36,Perreira,2009,Effect of early malnutrition and environmental ,J008,rats,Wistar,protein,-,38%,6%,16%,protein content,,,,,no,yes,yes,yes,Perreira_isocal_16%protein,Perreira_isocal_6%protein,22,43,lact,90,,,no,,24,12,8,yes,no,m,single,,,,,,,,,,,,,,control,yes,Perreira_isocal_16%protein,35,yes,28,EXPLORATION,EXPLORATION,EPM,5,Frequency_segment_3,#,yes,day,CNS_MNS,0.42,0.21,14,0.13,0.1,13,con_80,,,no,Fig 3,,no,Careful pups fed on exp diet til 35 days old. excluded data for stimulated pups during lactation,,,,,,,,,
yes,,comp_198,s_17,D_30,A_39,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,0.01,92,86,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_LPD_males,240.28,17.06,55,213.27,17.06,46,con_81,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_199,s_17,D_30,A_39,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,0.01,92,86,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_LPD_males,109.48,1.42,55,109.48,1.42,46,con_82,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_200,s_17,D_30,A_39,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,0.01,92,86,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_LPD_males,132.23,17.06,55,123.7,22.75,46,con_83,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_201,s_17,D_30,A_39,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,0.01,92,86,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_LPD_males,17.09,1.78,55,15.3,1.66,46,con_84,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_202,s_17,D_30,A_39,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,40.47,0.51,46,55,98,1.39,0.01,1.37,0.01,92,86,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,jumps,#,yes,day,NPD_LPD_males,1.4,0.34,55,1.75,0.43,46,con_85,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_203,s_17,D_30,A_40,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,0.01,96,87,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_LPD_females,256.67,16.67,52,205,15,50,con_86,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_204,s_17,D_30,A_40,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,0.01,96,87,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_LPD_females,105,3.33,52,115,3.33,50,con_87,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_205,s_17,D_30,A_40,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,0.01,96,87,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_LPD_females,128.33,18.33,52,193.33,28.33,50,con_88,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_206,s_17,D_30,A_40,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,0.01,96,87,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_LPD_females,16.95,1.18,52,14.14,1.76,50,con_89,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_207,s_17,D_30,A_40,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,22,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,32.4,0.36,50,52,98,1.33,0.03,1.35,0.01,96,87,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,jumps,#,yes,day,NPD_LPD_females,2.22,0.42,52,1.74,0.46,50,con_90,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_208,s_17,D_31,A_41,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,0.04,92,84,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_emb_LPD_males,245.97,18.48,62,213.27,17.06,46,con_81,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_209,s_17,D_31,A_41,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,0.04,92,84,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_emb_LPD_males,102.37,2.84,62,109.48,1.42,46,con_82,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_210,s_17,D_31,A_41,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,0.04,92,84,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_emb_LPD_males,113.75,12.8,62,123.7,22.75,46,con_83,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_211,s_17,D_31,A_41,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,0.04,92,84,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_emb_LPD_males,17.7,2.13,62,15.3,1.66,46,con_84,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_212,s_17,D_31,A_41,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,m,group,40.82,0.34,41.67,0.34,46,62,98,1.39,0.01,1.53,0.04,92,84,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,jumps,#,yes,day,NPD_emb_LPD_males,1.63,0.3,62,1.75,0.43,46,con_85,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_213,s_17,D_31,A_42,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,0.04,96,107,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_emb_LPD_females,290,18.33,50,205,15,50,con_86,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_214,s_17,D_31,A_42,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,0.04,96,107,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_emb_LPD_females,103.33,3.33,50,115,3.33,50,con_87,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_215,s_17,D_31,A_42,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,0.04,96,107,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_emb_LPD_females,150,23.33,50,193.33,28.33,50,con_88,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_216,s_17,D_31,A_42,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,0.04,96,107,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_emb_LPD_females,22.7,2.06,50,14.14,1.76,50,con_89,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_217,s_17,D_31,A_42,Watkins,2008,Adaptive response by mouse early,J043,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,0,3.5,pre,56,19,19,yes,single,,12,6,yes,no,f,group,31.85,0.73,34.72,0.42,50,50,98,1.33,0.03,1.47,0.04,96,107,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,jumps,#,yes,day,NPD_emb_LPD_females,3.46,0.42,50,1.74,0.46,50,con_90,,,no,Fig 2,,no,,pdf diet,,,,,,,,
yes,,comp_218,s_18,D_32,A_43,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,m,group,37.3,,37.3,,60,52,14,1.26,0.02,1.37,0.01,82,96,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_LPD_males,189.61,15.13,52,238.61,20.81,60,con_91,,,no,Fig 3a,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_219,s_18,D_32,A_43,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,m,group,37.3,,37.3,,60,52,14,1.26,0.02,1.37,0.01,82,96,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_LPD_males,114.6,3.78,52,114.41,3.78,60,con_92,,,no,Fig 3a,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_220,s_18,D_32,A_43,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,m,group,37.3,,37.3,,60,52,14,1.26,0.02,1.37,0.01,82,96,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_LPD_males,260.94,32.16,52,171.83,26.48,60,con_93,,,no,Fig 3a,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_221,s_18,D_32,A_43,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,m,group,37.3,,37.3,,60,52,14,1.26,0.02,1.37,0.01,82,96,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_LPD_males,14.24,1.46,52,17.07,1.78,60,con_94,,,no,Fig 3a,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_222,s_18,D_32,A_43,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,m,group,37.3,,37.3,,60,52,14,1.26,0.02,1.37,0.01,82,96,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,jumps,#,yes,day,NPD_LPD_males,1.82,0.38,52,2.74,0.59,60,con_95,,,no,Fig 3a,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_223,s_18,D_32,A_44,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,f,group,32.23,0.64,33.63,0.51,54,57,14,1.26,0.02,1.34,0.01,101,105,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,distance,cm,yes,day,NPD_LPD_females,211.46,15.38,57,241.92,15.38,54,con_96,,,no,Fig 3b,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_224,s_18,D_32,A_44,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,f,group,32.23,0.64,33.63,0.51,54,57,14,1.26,0.02,1.34,0.01,101,105,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,resting,sec,no,day,NPD_LPD_females,117.17,1.54,57,110.7,1.54,54,con_97,,,no,Fig 3b,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_225,s_18,D_32,A_44,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,f,group,32.23,0.64,33.63,0.51,54,57,14,1.26,0.02,1.34,0.01,101,105,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,ACTIVITY,Open_Field,3,velocity,cm/3 mins,yes,day,NPD_LPD_females,215.17,26.15,57,137.93,10.77,54,con_98,,,no,Fig 3b,,no,affective behaviour data not shown ,,,,,,,,,
yes,,comp_226,s_18,D_32,A_44,Watkins,2008,Low protein diet fed exclusively,J044,mice,MF1,protein,-,50%,9%,18%,protein content,,,,,no,yes,yes,yes,Sigma_Special_Diet_Service_Casein_18%,Sigma_Special_Diet_Service_Casein_9%,-3.5,0,pregestation,54.5,19,19,no,single,,12,6,yes,no,f,group,32.23,0.64,33.63,0.51,54,57,14,1.26,0.02,1.34,0.01,101,105,control,yes,Sigma_Special_Diet_Service_Casein_18%,0,yes,98,ANXIETY,EXPLORATION,Open_Field,3,rears,#,yes,day,NPD_LPD_females,12.25,1.29,57,19.08,1.55,54,con_99,,,no,Fig 3b,,no,affective behaviour data not shown ,,,,,,,,,
